State,Crop,Season,Sowing_Month,Harvest_Month,Growth_Stage,Soil_Type,Water_Requirement,Fertilizer_Used,Pesticide_Used,Organic_Practice,Major_Disease
Jammu and Kashmir,Wheat,Zaid,February,May,Germination,Well-drained loamy soil pH 6-7.5,Moderate requirement 45-65cm through season,DAP 120kg/ha at sowing time,Quinalphos 25EC for termite prevention,Neem-based pesticides for pest management,Leaf blight complex
Mizoram,Banana,Rabi,November,March,Flowering,Red loam with organic matter,High requirement 200-250cm annually,High potash requirement for fruit quality,Imidacloprid 17.8SL for aphids vectors,Vermicompost 5kg/plant beneficial,Panama wilt Fusarium oxysporum devastating
Arunachal Pradesh,Rice,Kharif,July,September,Germination,Clayey loam soil with good water retention,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Cartap hydrochloride 50SP for BPH and WBPH,Vermicompost 5 tons/ha for soil health,Tungro virus spread by leafhoppers
Jammu and Kashmir,Maize,Rabi,November,February,Maturity,Black soil with proper drainage facilities,4-5 irrigations through growing season,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 70WG for aphids and leafhoppers,Trichoderma viride for disease control,Turcicum leaf blight Northern blight
West Bengal,Mustard,Rabi,October,March,Flowering,Sandy loam to clay loam,"2-3 critical irrigations pre-flowering, flowering, siliqua",Urea 120kg/ha split application,Cypermethrin 25EC for caterpillars,Neem oil 3% for aphid control,Sclerotinia rot stem canker
Punjab,Maize,Rabi,October,March,Sowing,Sandy loam with good aeration,Avoid water stress during grain filling,DAP 150kg/ha at basal dose,Chlorantraniliprole 18.5SC for fall armyworm,Neem cake 200kg/ha soil application,Common rust orange pustules
Odisha,Oilseeds,Zaid,March,June,Maturity,Sandy loam,Critical at flowering,Sulphur 30kg/ha,Quinalphos 25EC,Crop rotation,White rust
Rajasthan,Bajra,Rabi,October,February,Maturity,Sandy soil,Low water requirement,Urea 60kg/ha,Neem oil for aphids,Green manuring,Downy mildew
Madhya Pradesh,Wheat,Zaid,February,May,Fruiting,Well-drained loamy soil pH 6-7.5,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Zinc sulphate 25kg/ha in deficient alkaline soils,Propiconazole 25EC for rust diseases,Azotobacter biofertilizer for N fixation,Powdery mildew in dense canopy
Tamil Nadu,Cotton,Kharif,July,November,Fruiting,Deep sandy loam well-drained,Critical at flowering and boll formation stages,Muriate of Potash 60kg/ha for fiber quality,Acetamiprid 20SP for whitefly and jassids,FYM 10 tons/ha before sowing,Root rot in heavy soils
Punjab,Rice,Rabi,October,March,Fruiting,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),NPK 20-20-0 complex mixture,Tricyclazole 75WP for blast disease,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Brown spot causing yield reduction
Sikkim,Maize,Zaid,February,June,Maturity,Well-drained loamy soil pH 5.5-7.5,Moderate requirement 50-75cm,DAP 150kg/ha at basal dose,Imidacloprid 70WG for aphids and leafhoppers,Neem cake 200kg/ha soil application,Common rust orange pustules
Meghalaya,Pineapple,Zaid,February,May,Fruiting,Sandy loam,Moderate rainfall,NPK 12:6:12,Chlorpyrifos for mealy bug,Mulching,Leaf spot
Jharkhand,Oilseeds,Kharif,July,November,Maturity,Well-drained black soil,Low to moderate water,DAP 120kg/ha,Quinalphos 25EC,Neem cake 500kg/ha,Alternaria blight
Jharkhand,Pulses,Zaid,February,June,Vegetative,Red and black soils suitable,Critical at flowering and pod formation,Rhizobium inoculation for nitrogen,Dimethoate 30EC systemic,FYM 5 tons/ha light application,Powdery mildew white coating
Uttarakhand,Rice,Zaid,February,May,Sowing,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Chlorpyrifos 20EC for stem borer and leaf folder,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Bacterial leaf blight in warm weather
Uttar Pradesh,Mustard,Rabi,November,February,Flowering,Well-drained black soil,"2-3 critical irrigations pre-flowering, flowering, siliqua",DAP/SSP 150kg/ha phosphorus,Dimethoate 30EC systemic for aphids,Sulphur through organic sources important,Alternaria blight most destructive
Goa,Arecanut,Kharif,June,November,Fruiting,Laterite soil,Frequent irrigation,NPK 100:40:140 g/palm/year,Chlorpyrifos for spindle bug,Mulching,Yellow leaf disease
Rajasthan,Maize,Rabi,November,March,Germination,Well-drained loamy soil pH 5.5-7.5,Critical at tasseling and silking stages,Potash 60kg/ha for strong stalks,Chlorantraniliprole 18.5SC for fall armyworm,Neem cake 200kg/ha soil application,Charcoal rot at maturity
Bihar,Vegetables,Zaid,March,June,Sowing,Alluvial soil rich in organic matter,Drip irrigation preferred,Compost and FYM 20 tons/ha,Spinosad for caterpillars,Vermicompost,Damping off
Puducherry,Cotton,Kharif,June,November,Vegetative,Red soil with organic amendments,10-12 irrigations in non-rainy season,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Chlorpyrifos 20EC broad spectrum,FYM 10 tons/ha before sowing,Bacterial blight angular leaf spots
Telangana,Chilli,Kharif,July,September,Sowing,Alluvial soil with good drainage,Drip irrigation most recommended,Calcium for reducing blossom end rot,Imidacloprid 17.8SL for thrips and mites,Vermicompost 5 tons/ha beneficial,Powdery mildew white coating
Arunachal Pradesh,Rice,Zaid,March,May,Fruiting,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Tungro virus spread by leafhoppers
Andhra Pradesh,Sugarcane,Zaid,February,June,Sowing,Deep rich loamy soil 1-1.5m depth,Frequent irrigation every 7-10 days in summer,DAP/SSP 200kg/ha phosphorus,Imidacloprid 17.8SL for aphids and whitefly,Green manuring with leguminous crops,Grassy shoot disease phytoplasma
Sikkim,Orange,Rabi,November,March,Germination,Well-drained loam,Moderate irrigation,FYM 20kg/tree,Imidacloprid for citrus psylla,Pruning and mulching,Gummosis
Bihar,Maize,Rabi,November,March,Maturity,Black soil with proper drainage facilities,Moderate requirement 50-75cm,NPK 20-20-0 at planting,Imidacloprid 70WG for aphids and leafhoppers,Vermicompost 3-4 tons/ha,Charcoal rot at maturity
Arunachal Pradesh,Rice,Zaid,March,May,Fruiting,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,DAP 18-46-0 100kg/ha as basal,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,Tungro virus spread by leafhoppers
Uttarakhand,Pulses,Zaid,March,May,Fruiting,Sandy loam with moderate fertility,Low to moderate 35-50cm,Potash 40kg/ha in deficient soils,Triazophos 40EC for caterpillars,FYM 5 tons/ha light application,Yellow mosaic virus whitefly transmitted
Punjab,Bajra,Zaid,March,June,Germination,Light loam soil,Low water requirement,Urea 60kg/ha,Neem oil for aphids,Minimal input crop,Downy mildew
Sikkim,Maize,Zaid,March,May,Sowing,Sandy loam with good aeration,Avoid water stress during grain filling,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 70WG for aphids and leafhoppers,Vermicompost 3-4 tons/ha,Turcicum leaf blight Northern blight
Karnataka,Rice,Zaid,March,June,Sowing,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Brown spot causing yield reduction
Goa,Cashew,Zaid,March,May,Maturity,Sandy loam,Low to moderate,NPK 500g/tree/year,Lambda-cyhalothrin for tea mosquito bug,Organic manure,Die back
Arunachal Pradesh,Rice,Zaid,February,May,Flowering,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,Sheath blight in humid conditions
Puducherry,Rice,Kharif,June,September,Vegetative,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,Urea 46% N 120kg/ha in split doses,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
Assam,Rice,Rabi,November,February,Vegetative,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Blast disease affecting leaves and panicles
West Bengal,Rice,Rabi,November,February,Vegetative,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Green manuring with Dhaincha or Sesbania for nitrogen,Tungro virus spread by leafhoppers
West Bengal,Vegetables,Rabi,November,March,Vegetative,Alluvial soil rich in organic matter,Drip irrigation preferred,NPK 100:60:60 kg/ha,Neem oil for aphids,Crop rotation,Powdery mildew
Punjab,Barley,Rabi,November,March,Germination,Alluvial soil,2-3 irrigations,DAP 100kg/ha,Propiconazole for leaf rust,Compost,Stripe rust
Sikkim,Maize,Zaid,February,June,Flowering,Black soil with proper drainage facilities,Avoid water stress during grain filling,Zinc sulphate 25kg/ha in deficient soils,Cypermethrin 25EC for stem borer,Crop rotation with legumes,Turcicum leaf blight Northern blight
Bihar,Wheat,Kharif,June,September,Maturity,Clay loam in irrigated areas,Avoid water logging which causes root damage,DAP 120kg/ha at sowing time,Quinalphos 25EC for termite prevention,Azotobacter biofertilizer for N fixation,Black rust in warmer conditions
Bihar,Maize,Zaid,March,May,Germination,Sandy loam with good aeration,Avoid water stress during grain filling,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 70WG for aphids and leafhoppers,FYM 8-10 tons/ha pre-sowing,Turcicum leaf blight Northern blight
Haryana,Rice,Zaid,February,June,Vegetative,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Crop rotation with pulses to fix nitrogen,Brown spot causing yield reduction
Rajasthan,Cotton,Kharif,July,November,Vegetative,Red soil with organic amendments,Critical at flowering and boll formation stages,Muriate of Potash 60kg/ha for fiber quality,Acetamiprid 20SP for whitefly and jassids,Neem oil 3% spray for sucking pests,Alternaria leaf spot common disease
Uttar Pradesh,Wheat,Kharif,June,November,Vegetative,Clay loam in irrigated areas,Avoid water logging which causes root damage,DAP 120kg/ha at sowing time,Propiconazole 25EC for rust diseases,Azotobacter biofertilizer for N fixation,Root rot in waterlogged conditions
Sikkim,Wheat,Rabi,November,March,Germination,Well-drained loamy soil pH 6-7.5,Avoid water logging which causes root damage,Urea 130kg/ha for nitrogen supply,Quinalphos 25EC for termite prevention,Crop rotation with legumes for nitrogen,Loose smut seed-borne disease
Mizoram,Banana,Zaid,March,June,Sowing,Red loam with organic matter,Drip irrigation best method,"Micronutrients Zn, B for bunch",Chlorpyrifos 20EC for banana weevil,Neem cake 2kg/plant at planting,Rhizome rot in waterlogged conditions
Assam,Jute,Zaid,March,May,Maturity,Loamy soil with good drainage,High rainfall crop 150-200cm,DAP 100kg/ha,Endosulfan alternatives for hairy caterpillar,FYM 10 tons/ha,Root rot
Gujarat,Groundnut,Zaid,March,June,Flowering,Light black soil well-drained,Moderate requirement 50-75cm,Low nitrogen 25kg N/ha legume,Imidacloprid 17.8SL for aphids and thrips,Phosphate-solubilizing bacteria PSB,Collar rot seedling disease
Madhya Pradesh,Maize,Rabi,November,March,Maturity,Well-drained loamy soil pH 5.5-7.5,Critical at tasseling and silking stages,Urea 250kg/ha split application,Chlorantraniliprole 18.5SC for fall armyworm,Vermicompost 3-4 tons/ha,Stalk rot weakening stems
Assam,Rice,Kharif,July,October,Flowering,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Green manuring with Dhaincha or Sesbania for nitrogen,Bacterial leaf blight in warm weather
Himachal Pradesh,Wheat,Rabi,November,March,Vegetative,Well-drained loamy soil pH 6-7.5,Sprinkler irrigation for water efficiency,Zinc sulphate 25kg/ha in deficient alkaline soils,Mancozeb 75WP broad spectrum fungicide,Compost application 5 tons/ha,Karnal bunt quarantine disease
Bihar,Pulses,Zaid,February,May,Sowing,Clay loam in irrigated areas,Critical at flowering and pod formation,Sulphur 20-30kg/ha for oilseeds,Chlorpyrifos 20EC for various pests,Crop rotation improves soil nitrogen,Wilt Fusarium various species
Telangana,Rice,Zaid,March,May,Flowering,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Crop rotation with pulses to fix nitrogen,Sheath blight in humid conditions
Telangana,Rice,Zaid,February,June,Maturity,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Neem cake 200kg/ha as soil amendment,Blast disease affecting leaves and panicles
Goa,Spices,Rabi,November,March,Vegetative,Laterite soil,Moderate rainfall,Organic manure preferred,Neem-based sprays,Mulching,Rhizome rot
Karnataka,Sugarcane,Zaid,February,May,Flowering,Deep rich loamy soil 1-1.5m depth,Critical at tillering and grand growth phase,Potash 120kg/ha important for sugar content,Chlorpyrifos 20EC for termite and root borer,Green manuring with leguminous crops,Grassy shoot disease phytoplasma
Telangana,Maize,Rabi,November,February,Flowering,Black soil with proper drainage facilities,Moderate requirement 50-75cm,Urea 250kg/ha split application,Cypermethrin 25EC for stem borer,Crop rotation with legumes,Maydis leaf blight causing lesions
Kerala,Tea,Zaid,March,May,Sowing,Acidic loam soil pH 4.5-5.5,High rainfall 200-300cm,Ammonium sulphate,Imidacloprid for tea mosquito bug,Vermicompost,Red rust
Assam,Oilseeds,Kharif,July,September,Maturity,Sandy loam,Low to moderate water,Sulphur 30kg/ha,Dimethoate 30EC,Crop rotation,White rust
Punjab,Wheat,Zaid,March,June,Flowering,Deep alluvial soil of Indo-Gangetic plains,Avoid water logging which causes root damage,Urea 130kg/ha for nitrogen supply,Chlorpyrifos 20EC 2ml/L for aphid control,FYM 8-10 tons/ha incorporated before sowing,Leaf blight complex
Gujarat,Bajra,Rabi,October,March,Maturity,Sandy soil,Rainfed crop,Urea 60kg/ha,Neem oil for aphids,Green manuring,Ergot
Maharashtra,Wheat,Zaid,February,May,Maturity,Clay loam in irrigated areas,Avoid water logging which causes root damage,NPK 12-32-16 complete mixture,Mancozeb 75WP broad spectrum fungicide,Azotobacter biofertilizer for N fixation,Karnal bunt quarantine disease
Meghalaya,Rice,Zaid,February,May,Maturity,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Brown spot causing yield reduction
Madhya Pradesh,Wheat,Rabi,November,March,Vegetative,Clay loam in irrigated areas,Moderate requirement 45-65cm through season,DAP 120kg/ha at sowing time,Quinalphos 25EC for termite prevention,Neem-based pesticides for pest management,Leaf blight complex
Madhya Pradesh,Soybean,Kharif,June,November,Germination,Well-drained loamy soil pH 6-7.5,Rainfed in most areas of India,Potash 40kg/ha for seed quality,Profenofos 50EC for defoliators,Trichoderma for disease management,Yellow mosaic virus whitefly vector
Arunachal Pradesh,Rice,Zaid,March,June,Vegetative,Clayey loam soil with good water retention,Drip irrigation in System of Rice Intensification (SRI),NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Vermicompost 5 tons/ha for soil health,Tungro virus spread by leafhoppers
Chhattisgarh,Rice,Zaid,March,May,Flowering,Alluvial soil rich in organic matter,Drip irrigation in System of Rice Intensification (SRI),Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Sheath blight in humid conditions
